,漫画ID,标题,作者,封面,内容简介,是否完结,最新章节
39,212470,万丈光芒不及你,杭漫文化,https://oss.mkzcdn.com/comic/cover/20181204/5c06281622751-750x999.jpg!cover-400,"
              尹伊沫为心爱的男人顶罪，坐牢五年；五年后她从监狱出来，迎接她的不是欧洛熙的求婚，而是他和她最恨的同父异母的姐姐在床上翻云覆雨。 在万般绝望与无助的情况下，尹伊沫遇到了A市首富路翊钧……              ",连载中,第194话 弥补伤害的遗嘱
40,212889,只对你臣服,冬漫社,https://oss.mkzcdn.com/comic/cover/20191113/5dcb9cdab5e67-750x999.jpg!cover-400,"
              “100块，辛苦费，走好不送。”堂堂帝少，竟被一个丫头当了解药！“占了爷的便宜，还想跑？谁给你的勇气！”              ",连载中,第217话 父子对决
41,214238,至尊神级系统,飞花工作室,https://oss.mkzcdn.com/comic/cover/20190830/5d68cabea0b20-750x999.jpg!cover-400,"
              地球少年，穿越异世，凭借新闻系统，知天下万事，占夺宝先机；修绝世功法，练逆天武技；吃极品丹药，掌天地神兵！最终踏上众生之巅，成就至尊之位。              ",连载中,第233话 食之行会
42,212764,天醒之路,极漫文化,https://oss.mkzcdn.com/comic/cover/20190927/5d8dcf081211a-750x999.jpg!cover-400,"
              网游文神级大师“蝴蝶蓝”。继《全职高手》之后最受瞩目的小说《天醒之路》漫改启动！蝴蝶蓝首部玄幻大作！
能力被封印的路平，竟然被称为牛皮糖还嬉笑颜开。三爷一样的大力女神苏唐，不离不弃守候身旁。一家不起眼的摘风学院里，少年却面临着被驱逐的危机。暗杀、逃匿、讨伐、毒药，处处是陷阱、处处有生机。              ",连载中,第170话 贯通
43,209297,伏魔天师,图灵动漫,https://oss.mkzcdn.com/comic/cover/20180607/5b18dc13dd97f-600x800.jpg!cover-400,"
              钟馗和他的徒弟秦霜通过一次次的降妖除魔渐渐发现这些妖物的古怪联系和他们的一些奇怪布置，最后查出有人想在京城布置这样的法阵。              ",连载中,第234话
44,209405,非人哉,一汪空气,https://oss.mkzcdn.com/comic/cover/20191220/5dfc828aa67e2-420x560.jpg!cover-400,"
              就算是建国前成的精，建国之后也要与时俱进才行！              ",连载中,第538话 碰到天敌最好还是躲着点走
45,209997,X龙时代,云天空 XIII,https://oss.mkzcdn.com/zymkcover/999/mh/7643.jpg!cover-400,"
              讲述的是一个普通的人一一辛云，在一次机会下穿越到未知世界，却因为沉迷女色而使自己失去成为最强者的机会，在一次九大强者的力量碰撞下，竟然发生了一件不可思议，或者说是奇迹的事情一一辛云重生回到当年他穿越到未知世界的时候！！！              ",连载中,停更公告
46,212807,极品战兵在都市,二次元动漫,https://oss.mkzcdn.com/comic/cover/20200119/5e23f76727f6d-750x1000.jpg!cover-400,"
              王洛羽回归都市，激战各方英豪。做我的女人，要么宠着，要么捧着。做我的敌人，不是死，就是在死的路上！              ",连载中,第178话
47,211805,校园高手,比格熊动漫,https://oss.mkzcdn.com/comic/cover/20181024/5bd0133d929a8-600x800.jpg!cover-400,"
              嚣张不是错，狂妄不是罪，我本最强，何须在意！校花，名模，御姐，我既喜欢，取来便是！              ",连载中,第212话 觅踪
48,214233,逆天剑神,Amber漫研社,https://oss.mkzcdn.com/comic/cover/20190610/5cfe0d68705b9-750x999.jpg!cover-400,"
              泱泱天道，强者无敌，上古丹法，照破山河万朵，焚天宝剑，湮灭宇宙轮回，修罗血脉，埋葬万界至尊，秦南得天命传承，修无敌之法，开启了一场碾压当世无数天才，通往万古不朽，称霸诸天的强者之路！“焚天煮酒修罗道，杀尽天下猪狗辈！”              ",连载中,第160话 重伤鬼刹，解救若云
